Light,CO2,NH3,Alcohol,Temp,Mix,Heating,Cluster
877,454,11,25,47.7,40,1,1
875,450,11,24,47.2,40,1,1
867,457,12,25,47.2,40,1,1
853,450,11,24,47.0,40,1,1
840,435,11,23,46.7,40,1,1
846,445,11,24,46.7,40,1,1
849,445,11,24,46.5,40,1,1
843,438,11,24,45.9,40,1,1
840,442,11,24,45.8,40,1,1
836,442,11,24,45.5,40,1,1
837,440,11,24,45.4,40,1,1
833,447,11,24,45.3,40,1,1
811,426,11,23,45.3,40,1,1
824,452,11,24,45.3,40,1,1
824,457,12,25,45.3,40,1,1
820,450,11,24,45.3,40,1,1
818,450,11,24,45.3,40,1,1
818,454,11,25,45.4,40,1,1
812,447,11,24,45.4,40,1,1
812,462,12,25,45.4,40,1,1
820,447,11,24,45.4,40,1,1
812,445,11,24,45.2,40,1,1
812,447,11,24,45.1,40,1,1
812,454,11,25,44.6,40,0,1
515,479,12,26,33.8,40,0,0
515,479,12,26,33.6,40,0,0
510,487,12,27,33.4,40,0,0
517,484,12,26,33.2,40,0,0
518,481,12,26,33.1,40,0,0
520,484,12,26,33.0,40,0,0
516,479,12,26,32.9,40,0,0
517,481,12,26,32.6,40,0,0
517,481,12,26,32.5,40,0,0
515,479,12,26,32.3,40,0,0
502,467,12,25,32.2,40,0,0
517,484,12,26,32.1,40,0,0
520,481,12,26,32.1,40,0,0
526,481,12,26,32.0,40,0,0
521,484,12,26,31.8,40,0,0
525,487,12,27,31.8,40,0,0
517,479,12,26,31.7,40,0,0
518,484,12,26,31.6,40,0,0
517,479,12,26,31.6,40,0,0
517,481,12,26,31.5,40,0,0
518,479,12,26,31.4,40,0,0
525,479,12,26,31.4,40,0,0
525,479,12,26,31.3,40,0,0
524,479,12,26,31.2,40,0,0
523,481,12,26,31.2,40,0,0
521,481,12,26,31.1,40,0,0
518,479,12,26,31.1,40,0,0
521,479,12,26,31.1,40,0,0
529,487,12,27,31.0,40,0,0
519,481,12,26,30.9,40,0,0
517,479,12,26,30.9,40,0,0
524,484,12,26,30.8,40,0,0
521,479,12,26,30.8,40,0,0
515,479,12,26,30.8,40,0,0
517,484,12,26,30.7,40,0,0
517,481,12,26,30.7,40,0,0
518,479,12,26,30.6,40,0,0
517,492,12,27,30.6,40,0,0
516,484,12,26,30.6,40,0,0
510,479,12,26,30.5,40,0,0
516,492,12,27,30.5,40,0,0
516,479,12,26,30.4,40,0,0
516,489,12,27,30.4,40,0,0
513,481,12,26,30.4,40,0,0
516,487,12,27,30.4,40,0,0
504,481,12,26,30.4,40,0,0
517,484,12,26,30.3,40,0,0
516,484,12,26,30.3,40,0,0
499,471,12,26,30.3,40,0,0
516,487,12,27,30.3,40,0,0
517,492,12,27,30.2,40,0,0
518,487,12,27,30.2,40,0,0
517,484,12,26,30.1,40,0,0
516,489,12,27,30.1,40,0,0
515,484,12,26,30.1,40,0,0
513,481,12,26,30.1,40,0,0
516,481,12,26,30.1,40,0,0
513,484,12,26,30.1,40,0,0
497,471,12,26,30.1,40,0,0
510,487,12,27,30.0,40,0,0
512,479,12,26,30.0,40,0,0
503,487,12,27,30.0,40,0,0
510,487,12,27,29.9,40,0,0
511,492,12,27,29.9,40,0,0
507,481,12,26,29.9,40,0,0
507,492,12,27,29.9,40,0,0
489,469,12,25,29.8,40,0,0
506,492,12,27,29.8,40,0,0
504,479,12,26,29.8,40,0,0
509,487,12,27,29.8,40,0,0
511,487,12,27,29.8,40,0,0
508,479,12,26,29.7,40,0,0
505,481,12,26,29.7,40,0,0
514,484,12,26,29.7,40,0,0
505,492,12,27,29.6,40,0,0
505,487,12,27,29.7,40,0,0
489,476,12,26,29.6,40,0,0
504,487,12,27,29.6,40,0,0
505,487,12,27,29.6,40,0,0
504,484,12,26,29.6,40,0,0
507,484,12,26,29.6,40,0,0
503,481,12,26,29.6,40,0,0
503,494,12,27,29.6,40,0,0
504,487,12,27,29.5,40,0,0
504,492,12,27,29.5,40,0,0
503,487,12,27,29.5,40,0,0
503,487,12,27,29.4,40,0,0
503,479,12,26,29.4,40,0,0
504,484,12,26,29.4,40,0,0
505,489,12,27,29.4,40,0,0
504,487,12,27,29.4,40,0,0
504,489,12,27,29.4,40,0,0
505,492,12,27,29.4,40,0,0
505,494,12,27,29.4,40,0,0
504,494,12,27,29.3,40,0,0
507,487,12,27,29.3,40,0,0
503,487,12,27,29.3,40,0,0
1011,402,10,21,60.2,60,1,4
978,402,10,21,58.9,60,1,4
977,400,10,21,58.8,60,1,4
973,404,10,21,58.6,60,1,4
967,400,10,21,58.4,60,1,4
964,398,10,21,58.3,60,1,4
963,396,10,21,58.1,60,1,4
959,402,10,21,57.9,60,1,4
942,402,10,21,57.6,60,1,1
946,402,10,21,57.3,60,1,1
944,398,10,21,57.1,60,1,1
943,400,10,21,56.9,60,1,1
932,398,10,21,56.7,60,1,1
934,402,10,21,56.6,60,1,1
928,402,10,21,56.4,60,1,1
924,398,10,21,56.2,60,1,1
915,396,10,21,56.0,60,1,1
916,402,10,21,55.7,60,1,1
917,402,10,21,55.5,60,1,1
913,396,10,21,55.2,60,1,1
908,402,10,21,54.9,60,1,1
903,402,10,21,54.8,60,1,1
901,400,10,21,54.6,60,1,1
899,402,10,21,54.4,60,1,1
897,400,10,21,54.2,60,1,1
895,398,10,21,54.1,60,1,1
891,400,10,21,53.9,60,1,1
888,398,10,21,53.7,60,1,1
888,404,10,21,53.6,60,1,1
882,400,10,21,53.1,60,1,1
877,402,10,21,52.8,60,1,1
875,396,10,21,52.7,60,1,1
872,396,10,21,52.5,60,1,1
874,398,10,21,52.3,60,1,1
865,398,10,21,52.2,60,1,1
865,402,10,21,52.1,60,1,1
863,402,10,21,51.9,60,1,1
857,404,10,21,51.6,60,1,1
853,400,10,21,51.4,60,1,1
851,398,10,21,51.3,60,1,1
